track_name,danceability,energy,loudness,speechiness,acousticness,valence,instrumentalness,liveness,tempo,performer
Elite (Chad Gable),0.464,0.821,-4.65,0.0364,0.000119,0.767,0.747,0.0911,175.253,Chad Gable
The Rising Sun (Shinsuke Nakamura),0.365,0.888,-4.896,0.0497,0.000446,0.346,0.917,0.146,160.041,Shinsuke Nakamura
No Way (No Way Jose),0.765,0.981,-4.024,0.112,0.000119,0.622,0.0132,0.0378,131.988,No Way Jose
Rollin' (Air Raid Vehicle),0.594,0.939,-3.143,0.153,0.00498,0.722,0.0,0.342,96.305,Air Raid Vehicle
Out from the Shadows (Sting),0.282,0.85,-2.083,0.0449,0.0101,0.093,0.881,0.281,174.068,Sting
"New Day, New Way (The New Day)",0.848,0.558,-14.256,0.257,0.0136,0.906,0.000868,0.292,103.011,The New Day
Making a Difference (Andrade),0.634,0.961,-3.598,0.069,0.00874,0.814,0.792,0.337,118.003,Andrade
Combative (Oney Lorcan),0.533,0.971,-6.24,0.0582,0.000318,0.598,0.605,0.307,95.018,Oney Lorcan
Shining Star (The Shining Stars),0.531,0.979,-2.938,0.0541,0.104,0.565,0.894,0.155,96.999,The Shining Stars
Breezango (Breezango),0.628,0.948,-3.293,0.187,0.0198,0.572,0.33,0.356,120.102,Breezango
Great Again (Darren Young),0.491,0.947,-2.987,0.0723,0.00188,0.376,0.687,0.344,179.982,Darren Young
Ten (Tye Dillinger),0.364,0.935,-6.178,0.0745,7.7e-06,0.177,0.855,0.335,140.079,Tye Dillinger
Cruise Control (Apollo Crews),0.55,0.884,-5.485,0.025,0.000351,0.598,0.974,0.194,87.53,Apollo Crews
Destroyer (Samoa Joe),0.776,0.64,-4.955,0.0907,0.0303,0.687,0.696,0.124,95.077,Samoa Joe
Tokiwakita (Time Has Come) (Hideo Itami),0.486,0.68,-7.894,0.0392,1.85e-05,0.809,0.819,0.463,74.936,Time Has Come 
Regality (William Regal),0.317,0.589,-10.358,0.0337,0.156,0.352,0.405,0.263,140.08,William Regal
Glorious Domination (Bobby Roode),0.444,0.943,-4.857,0.0561,0.00371,0.533,2.16e-06,0.0833,94.081,Bobby Roode
Playing With Power (TJP),0.393,0.957,-6.504,0.101,6.89e-05,0.484,0.949,0.322,179.878,TJP
Chrome Hearts (Gargano & Ciampa),0.427,0.936,-5.616,0.0956,3.26e-05,0.209,0.791,0.0951,161.937,Gargano & Ciampa
Free the Flame (Ember Moon),0.394,0.852,-4.698,0.0495,0.00371,0.381,0.000128,0.037,75.108,Ember Moon
Won't Let Go (Cedric Alexander),0.414,0.783,-3.863,0.132,0.0126,0.273,0.0,0.0522,84.239,Cedric Alexander
Controlled Chaos (SAnitY),0.595,0.941,-6.948,0.0718,0.0895,0.291,0.221,0.314,95.035,SAnitY
Around the World (Rich Swann),0.626,0.916,-4.399,0.061,0.0729,0.644,0.0,0.488,115.035,Rich Swann
Faceless (Sin Cara),0.585,0.941,-4.998,0.0541,0.000282,0.886,0.98,0.109,117.994,Sin Cara
Golden Rush (Lince Dorado),0.417,0.973,-5.734,0.104,4.15e-05,0.189,0.737,0.316,164.976,Lince Dorado
Metálico (Gran Metalik),0.423,0.975,-6.124,0.0823,1.53e-05,0.592,0.826,0.135,102.582,Gran Metalik
Totally Drew (Drew Gulak),0.563,0.914,-5.142,0.0597,1.15e-05,0.342,0.866,0.0761,118.071,Drew Gulak
Win It All (Tony Nese),0.314,0.958,-6.664,0.0644,1.12e-06,0.118,0.935,0.536,161.989,Tony Nese
Femme Fatale (The IIconics),0.739,0.804,-6.167,0.0636,0.00405,0.513,0.757,0.146,112.999,The IIconics
Stand Tall (The Mighty),0.298,0.915,-4.933,0.0486,3.9e-06,0.486,0.862,0.248,155.986,The Mighty
G.O.A.T. (Tino Sabbatelli),0.568,0.917,-4.394,0.174,0.0939,0.817,0.0,0.694,76.501,Tino Sabbatelli
Face the Facts (Curt Hawkins),0.499,0.993,-7.347,0.102,8.55e-05,0.367,0.914,0.0529,139.948,Curt Hawkins
I Am Stronger (Braun Strowman),0.569,0.977,-6.218,0.0549,7.51e-05,0.428,0.791,0.34,157.602,Braun Strowman
Believe the Hype (Mojo Rawley),0.364,0.992,-5.242,0.14,3.9e-06,0.349,0.196,0.213,180.057,Mojo Rawley
Common Man Boogie (Dusty Rhodes Tag Team Classic Remix),0.539,0.945,-3.907,0.049,0.0623,0.871,0.355,0.318,130.055,Dusty Rhodes Tag Team Classic Remix
Sky’s the Limit (Piano) [Sasha Banks],0.43,0.308,-16.4,0.0495,0.986,0.276,0.867,0.121,76.001,Piano [Sasha Banks]
Weekend Rockstar (Noam Dar),0.308,0.976,-5.726,0.0863,5.39e-06,0.475,0.849,0.147,192.03,Noam Dar
Southern Proud (The Revival),0.525,0.954,-5.957,0.124,0.0441,0.665,0.0,0.332,84.953,The Revival
Hallelujah (Damien Sandow),0.405,0.57,-7.959,0.0339,0.632,0.35,0.39,0.309,105.125,Damien Sandow
Holla If Ya Hear Me (Scott Steiner),0.484,0.884,-1.797,0.0262,0.000356,0.288,0.935,0.0826,87.997,Scott Steiner
Break the Walls Down (Chris Jericho) [1999],0.486,0.97,-3.577,0.068,4.99e-05,0.558,0.921,0.119,146.945,Chris Jericho [1999]
I Walk Alone (Batista) [Acoustic],0.566,0.627,-5.718,0.0272,0.624,0.67,0.00202,0.117,149.605,Batista [Acoustic]
Voices (Randy Orton) [Acoustic],0.476,0.652,-3.56,0.0305,0.14,0.498,0.0,0.611,82.469,Randy Orton [Acoustic]
Green Mist (Tajiri),0.58,0.873,-4.726,0.036,0.0325,0.648,0.00102,0.398,125.154,Tajiri
Posse (Mean Street Posse),0.82,0.775,-6.188,0.0443,0.00136,0.747,0.866,0.119,79.496,Mean Street Posse
Star of Vega (Savio Vega),0.679,0.896,-5.029,0.0352,0.0437,0.437,0.833,0.146,107.102,Savio Vega
